Id,Title,Latitude,Longitude,Image
1,Sydney ,-33.936293,151.165388,Image1
2,Bondi beach ,-33.891813,151.27316,Image2
3,Bondi beach ,-33.891727,151.282489,Image3
4,Bondi beach ,-33.891717,151.282478,Image4
5,Bondi beach ,-33.891711,151.282317,Image1
6,Bondi beach ,-33.89169,151.282457,Image1
7,Bondi beach ,-33.891685,151.282317,Image2
8,Bondi beach ,-33.891674,151.282263,Image3
9,Bondi beach ,-33.891647,151.282215,Image4
10,Bondi beach ,-33.891636,151.282231,Image1
11,Bondi beach ,-33.891577,151.28221,Image1
12,Bondi beach ,-33.891572,151.282221,Image2
13,Bondi beach ,-33.891529,151.282247,Image3
14,Bondi beach ,-33.891518,151.282242,Image4
15,Bondi beach ,-33.891513,151.282253,Image1
16,Bondi beach ,-33.891486,151.28228,Image1
17,Bondi beach ,-33.891465,151.282242,Image2
18,Bondi beach ,-33.891432,151.282178,Image3
19,Bondi beach ,-33.891304,151.282263,Image4
20,Bondi beach ,-33.891266,151.282301,Image1
21,Bondi beach ,-33.891212,151.28228,Image1
22,Bondi beach ,-33.891202,151.282269,Image2
23,Bondi beach ,-33.891175,151.282462,Image3
24,Bondi beach ,-33.891127,151.282274,Image4
25,Bondi beach ,-33.891116,151.282253,Image1
26,Bondi beach ,-33.891111,151.282467,Image1
27,Bondi beach ,-33.890547,151.277816,Image2
28,Bondi beach ,-33.890461,151.282086,Image3
29,Bondi beach ,-33.89044,151.277945,Image4
30,Bondi beach ,-33.890408,151.278074,Image1
31,Bondi beach ,-33.890392,151.278138,Image1
32,Bondi beach ,-33.890381,151.278203,Image2
33,Bondi beach ,-33.890317,151.281588,Image3
34,Bondi beach ,-33.890306,151.281475,Image4
35,Bondi beach ,-33.890247,151.281234,Image1
36,Sydney ,-33.880625,151.202902,Image1
37,Sydney ,-33.880444,151.203824,Image2
38,Sydney ,-33.880357,151.204352,Image3
39,Sydney ,-33.878254,151.203991,Image4
40,Sydney ,-33.877795,151.203959,Image1
41,Sydney ,-33.877552,151.203977,Image1
42,Chinese Gardens of Friendship ,-33.876439,151.202479,Image2
43,Sydney ,-33.876236,151.205424,Image3
44,Sydney ,-33.875697,151.210953,Image4
45,Sydney ,-33.875453,151.211012,Image1
46,Sydney ,-33.875373,151.211016,Image1
47,Darling Harbour ,-33.875171,151.201221,Image2
48,Sydney ,-33.87448,151.211167,Image3
49,Sydney ,-33.873887,151.205771,Image4
50,Sydney ,-33.873851,151.205814,Image1
51,Sydney ,-33.873767,151.205776,Image1
52,Darling Harbour ,-33.873495,151.200051,Image2
53,Darling Harbour ,-33.873412,151.200309,Image3
54,Sydney ,-33.873295,151.206758,Image4
55,Sydney ,-33.873286,151.207074,Image1
56,Sydney ,-33.872819,151.206907,Image1
57,Sydney ,-33.872762,151.207298,Image2
58,Sydney ,-33.872163,151.206628,Image3
59,Sydney ,-33.871911,151.206685,Image4
60,Sydney ,-33.871757,151.207078,Image1
61,Sydney ,-33.871639,151.206648,Image1
62,Sydney ,-33.871367,151.211773,Image2
63,Sydney ,-33.871067,151.206625,Image3
64,Sydney ,-33.871044,151.211889,Image4
65,Sydney ,-33.870872,151.211874,Image1
66,Sydney ,-33.870783,151.211761,Image1
67,Darling Harbour ,-33.870596,151.200288,Image2
68,Darling Harbour ,-33.870461,151.200327,Image3
69,Sydney ,-33.870289,151.207719,Image4
70,Darling Harbour ,-33.870285,151.1993,Image1
71,Sydney ,-33.870035,151.207816,Image1
72,Sydney ,-33.869784,151.212705,Image2
73,Sydney ,-33.869575,151.212499,Image3
74,The Domain ,-33.869544,151.21485,Image4
75,Sydney ,-33.869464,151.212102,Image1
76,Sydney ,-33.869448,151.212893,Image1
77,Sydney ,-33.869292,151.260881,Image2
78,Sydney ,-33.868717,151.260842,Image3
79,Darling Harbour ,-33.868419,151.198606,Image4
80,Darling Harbour ,-33.868352,151.198251,Image1
81,Darling Harbour ,-33.868128,151.19824,Image1
82,Sydney ,-33.868053,151.212747,Image2
83,Sydney ,-33.867956,151.212912,Image3
84,Sydney ,-33.867863,151.212399,Image4
85,Sydney ,-33.867277,151.212493,Image1
86,Sydney ,-33.866865,151.19999,Image1
87,Darling Harbour ,-33.866829,151.196126,Image2
88,Darling Harbour ,-33.866828,151.196125,Image3
89,Sydney ,-33.866776,151.196014,Image4
90,Sydney ,-33.866606,151.245392,Image1
91,Sydney ,-33.866378,151.212645,Image1
92,Royal Botanic Gardens ,-33.866054,151.215218,Image2
93,Royal Botanic Gardens ,-33.865994,151.214926,Image3
94,Royal Botanic Gardens ,-33.865831,151.216383,Image4
95,Royal Botanic Gardens ,-33.865827,151.215154,Image1
